0.4636213 0.08138871 1.0687735 -0.34989247 -0.23400722 0.13367416 0.5593878 0.3325325 -1.651594 0.015941989 0.9819674 -1.0262614 0.647412 -0.14404982 0.70540416 0.056357365 -0.5783661 -0.82353705 0.5599601 0.14500542 0.66871476 -0.50802165 -0.06482289 -2.212054 -0.62839776 -1.5222979 -0.060848143 1.3440657 0.30068895 0.3858291 -0.81014836 -0.59895796 0.084139585 -0.38242674 -0.41015875 1.494551 -0.39928746 0.34150198 0.044359773 0.77923787 0.07124668 1.5385156 -1.2054598 0.54747015 0.2934378 0.058871727 -0.13098852 1.9894732 0.031193286 -1.2685634 -0.5978567 1.9194871 0.6353795 -0.2805224 0.10669837 1.2250706 0.93136746,0
1.6173931 -0.2700712 1.0620943 -2.3741534 1.3417828 -0.6034708 -0.3699876 -1.0351069 0.6197828 1.1138086 1.3781626 -0.19675879 0.57633156 0.082336806 1.5320479 1.2640581 1.5340497 -0.17022003 0.29986766 0.43997484 0.99583066 -0.6837108 -0.29753032 -0.38324022 -0.91781926 0.3826112 -1.0119535 0.48641202 1.1851553 -1.1578872 -0.6241593 -0.16866131 -1.4130136 -0.31189853 0.24559015 1.3967345 -0.24976164 0.60567254 -0.50139385 0.61544675 -0.69501835 1.0236938 -0.6250803 -0.896469 -0.39616853 0.4887547 0.75718194 -0.5244882 0.64420056 0.32569104 0.4137187 2.002199 -0.67959374 -0.64691925 -0.89589614 -0.25294617 0.410506,1
0.6559312 0.045767423 -2.1128907 -0.17973979 0.13048957 1.3743681 -0.19601373 0.070545286 0.43465173 -0.37815806 0.655666 0.15040208 -0.5133149 -0.9636359 1.9186827 0.42363828 -2.1516502 -0.8818141 0.20226118 -0.14254874 -1.8371116 1.1387221 1.8285031 0.3141104 0.020171301 -0.12048188 0.8385439 -0.33050305 0.27725223 0.6176677 0.29925323 -1.0417142 1.1140554 -0.07397281 -0.8103672 0.109974615 -2.3738983 0.31592226 -0.84597516 1.7877214 1.9665555 -0.89191234 0.3056373 -1.47648 -0.7355256 -0.795863 -0.24162336 -0.7207641 0.7068093 -0.52626306 -0.36082587 2.440941 1.5788918 -0.47681394 1.0700164 0.46729508 1.2093537,2
-0.5180911 0.023632245 0.88071626 -0.26287684 2.7655826 0.6573248 0.72726727 0.4341102 -0.7167347 0.108660944 -0.4295822 -1.3966998 0.3068994 -1.1526091 1.8965912 -1.6363783 0.5657874 -0.9383905 1.3815464 0.98893005 1.2363597 1.1990993 1.793398 -1.9687976 1.0899274 -0.37949458 -1.2320651 -0.11015663 0.7690494 -1.4053109 0.63293207 1.4356513 -0.82263833 -0.5704816 -1.7671797 -0.07167964 0.12634914 0.62677664 0.37644032 -0.95770055 -1.075748 0.2100283 -0.48279756 0.17414993 -2.3943925 1.7105818 -1.9722646 0.35538965 -0.2930773 -0.29826903 0.41419882 -0.0047816006 0.5564126 0.70329076 0.8247607 -0.03883471 -0.18127365,3
0.62835425 1.774922 -0.7170884 -1.9047486 -0.67463374 -1.1694105 0.020157598 0.18244398 -1.0518035 -0.5647331 0.08449403 -0.25127786 0.79220253 -1.6340932 2.0289946 -1.3050027 0.8238501 0.10302459 2.0586908 -1.2686588 0.8017269 -0.2240886 0.6541607 0.66493934 -0.4373919 -0.8951801 -0.045520753 0.09642358 0.31914383 1.2575294 -0.78614867 0.56699324 0.56000406 0.30974114 -0.5861497 -0.8043442 0.95373785 -1.9413663 0.8480318 -1.4455507 -0.6426785 -0.2835826 -0.624211 -0.12938885 -1.4615899 0.8223574 -1.2293289 1.620381 0.981223 -1.4046772 -0.35539526 -0.36977497 0.6304194 0.5924454 -0.9966474 1.352325 -0.98036367,4
1.4927197 0.8672806 -0.58642536 0.3498477 0.70781606 -0.8537308 -0.8078792 1.4764749 0.25158602 -0.41613185 0.7418421 -0.14553787 0.8035249 -0.060593136 -1.7179631 0.34144258 -0.023007307 -1.1580362 0.5319404 0.18850134 0.848921 0.48008263 1.9024632 -0.7813555 -2.0004666 -0.2236178 0.08188865 0.70530045 1.2040051 1.4169787 0.748172 -1.7551514 1.7981036 0.22389562 -0.5366184 -1.2768745 0.44410044 -0.7685048 0.3324732 -0.10805515 0.13268463 0.7831442 -1.3621072 -0.28246573 0.5328026 -0.57461524 0.42868114 -0.98791045 -0.72932905 -0.09365572 -0.7575339 0.15416618 0.22724771 -0.19123846 -0.4265785 -0.58449906 1.4054247,5
-0.89151067 -0.8619803 -0.5806232 -0.8524333 0.71162677 -0.94501364 0.8900859 -1.3619478 0.29658866 -1.2068131 -0.0029335062 -1.2720629 -0.11502656 -0.22409332 -1.2472025 -0.11421031 1.4382254 -0.31254596 -0.64723647 0.3982633 1.9029083 -0.06964218 0.24763393 -0.3762156 -1.2489332 1.5222026 -0.376376 0.7486311 -0.31870252 -0.7534373 0.46765405 0.6300676 1.3442225 1.3636956 1.3015268 -0.51554364 -0.69958174 1.1228867 -1.1600486 1.4843798 -1.4561658 0.9055136 0.34262985 1.7656227 -0.09411217 -0.23953016 1.0052044 0.007037648 0.36826542 0.27282217 -1.9428039 0.37262747 0.37856555 1.4359144 -0.9754735 1.6640264 1.0452422,6
-0.6888942 0.48733008 -1.3982749 1.8438996 1.1755892 1.7046399 0.57048374 -1.0679985 -1.3238978 1.4518155 0.009530209 -0.054414038 -0.77345335 -0.07484244 0.014885606 0.8318606 1.4607071 0.4426554 -1.3283222 -1.5067258 0.14598618 0.10877943 0.14009863 0.74015754 -0.19760777 -0.18475732 0.79310566 -1.2718459 1.3726475 0.41697136 0.3319007 -0.10705592 -0.06235626 -0.9510122 1.2005609 0.5284579 0.2159878 0.1758753 0.12167332 -1.3592043 0.12466171 -0.33746207 0.29605117 0.05659344 0.7804 -0.38253096 -0.23254699 -1.1562712 0.28790405 0.5733928 0.5175085 -1.1830224 0.20688023 0.5800976 0.93520045 -0.37244597 1.7114702,7
0.6725544 0.415305 -1.6773599 -0.26249182 0.19726257 -0.56329906 -1.0374345 0.013021947 0.53354424 -1.2393063 0.65975296 0.36506182 -1.79734 -0.055149816 -0.6752317 0.5527593 -0.9448478 0.6423825 -0.18781911 -0.6413963 1.2322384 -1.0328113 0.061844658 0.16157585 -1.1264384 -0.5498222 -1.2123483 -1.4973401 0.3419268 -0.7773825 0.5137549 -0.6451977 1.0349073 -0.48087567 1.0096269 -1.8218075 -0.07263144 -1.3575766 -0.6761634 0.48065516 -0.2852635 -2.0027807 0.6342033 0.20326048 -0.9198509 0.875968 0.20630063 0.27387503 0.8640838 -0.07979873 -0.8057826 -1.0486829 -1.018783 0.8088271 -1.1042602 -0.027959187 -1.5259675,8
-0.84407485 -1.2884727 0.67214566 1.1239616 -1.1724387 0.8306225 0.29526666 -0.6986384 0.34820363 0.07894641 -1.773924 -1.5987097 2.0867386 -0.4010988 -1.4420244 -0.50637305 0.6112853 -0.114393525 1.4824114 1.5511336 0.053427048 0.3242548 0.61143905 -1.7491245 1.430494 -0.5585536 -0.34065607 0.18463807 -1.8013824 -0.33649036 -0.37563708 0.96731824 0.36973578 -0.0055771954 -0.87750673 -0.08081864 -0.9031759 0.18318447 0.2474886 -1.3107144 -0.04396953 -0.6005908 0.9454499 -1.2717816 -0.39025995 0.7227563 -1.8907965 0.1337865 1.1025351 0.37488204 -0.8027838 0.1692622 -0.25241908 0.2157549 0.24582519 0.46898958 -1.1344125,9
0.0030007467 -0.5110629 0.58120555 1.128001 0.39152163 -1.4970219 -0.91490537 -0.63059646 -0.0031468775 1.4906687 -1.2561336 0.12351697 -0.115623705 -0.13597587 -0.32148892 -0.76168644 -1.6315236 -1.4460813 1.3837982 0.25110233 -0.14573011 -1.1475646 -0.65258145 -0.9268103 -0.18256515 0.2175129 0.3972561 -1.6142604 -1.3357757 0.39602804 -0.3499866 -0.81723166 1.3044943 -1.335621 0.79933596 -1.056378 -1.3225538 0.879711 0.21230733 0.31548592 -0.6832338 -1.0816689 -1.4999886 0.5979851 -0.4185436 -0.98828065 0.32309276 0.05653566 0.3855516 0.74938005 -0.49514186 -0.24531364 1.6176107 -0.02731403 0.51567465 -0.67616117 -1.2385669,10
-0.5531155 -0.9974658 -0.6634572 0.55057186 -0.73887694 1.4854372 0.90366477 -0.09204101 0.3388155 0.9919373 0.22642241 -0.7829008 1.2150148 -0.73417395 -0.11340204 1.7328922 -1.0211173 1.638383 0.5607234 0.007485126 -1.2465324 0.49310997 0.9771473 -0.6895764 -0.5526542 1.3194509 -0.076382056 0.39287335 1.3415484 -1.2664195 0.13704191 0.5826753 -0.8648677 0.539194 0.7703491 -0.5916087 0.5348645 -0.61354953 0.662308 1.397302 -1.0399384 0.6289732 0.5346473 1.257244 -0.6185455 -0.29610348 -1.9493017 -1.3403596 -0.2911114 -0.7235171 -0.0015940621 -0.42430624 -0.13943136 0.3575963 0.046823077 0.18703975 0.85910106,11
-0.41862074 -0.20471084 -1.8461026 -1.0203568 0.5417262 -1.2405634 -0.9046314 -0.44042125 1.9109174 -2.3104098 0.367829 -0.43118542 1.2457362 -1.311104 -0.5680564 1.1606914 1.3308129 0.5483032 1.333988 -1.5837739 -0.5087067 -0.37148032 -0.6705291 1.0636579 -0.9198001 -0.30020657 1.9123017 1.2129407 0.35143435 0.7018221 0.35026917 -0.49791497 0.02366163 -1.3568711 -0.052576877 0.36753333 0.99488664 -2.005862 -0.47846642 -2.159321 -0.56304514 -0.81559956 -1.3931768 0.08373653 0.07301339 -0.4705827 0.28774956 0.86590964 -0.4286106 -0.3346592 1.8551606 0.36834258 -1.6878633 0.8957367 -0.022212066 0.37897575 2.7704039,12
0.113025226 0.7103248 -0.37838143 -0.03289514 -1.9799554 1.7346706 0.84719 -1.078572 -1.0116535 1.9689348 -0.988344 -1.1579511 -0.17417069 -0.2610747 -1.0862815 -1.9202864 1.7878256 -0.46362737 -2.9506552 1.485243 0.7664518 1.3794166 0.9313719 0.29741517 1.9458716 -0.12657629 0.5363355 -0.230855 0.7805796 -0.060939018 0.27419052 -1.5180633 0.31768647 -0.73380667 -0.2614592 0.13649324 -0.6079182 0.26232824 -0.5827224 -0.5174244 1.7510562 1.9045541 0.9766079 0.10832531 1.156627 -0.18039659 1.1349673 -0.8649361 -0.76040435 1.2587718 0.52975535 0.3145832 -0.7992475 1.1612767 1.1240367 -0.9652275 2.794171,13
-0.51183206 -1.1491579 -1.2280722 -2.3851292 -0.16174787 0.35904372 0.33469924 0.15142725 -0.8565552 0.6064191 -1.262166 0.96472156 0.34006307 1.3462635 1.2130522 -0.95833296 -0.68695116 0.17886552 1.7800395 0.66415834 0.107149355 0.80704325 -0.8275279 1.0121597 0.44043723 -0.033782404 0.41782624 -1.900438 -0.31712234 1.2163244 -0.52757007 1.1217132 0.3877598 -1.7472757 1.9619583 0.35610756 -1.0924793 -0.33144698 0.7535562 0.73857385 2.9585564 0.75953007 -0.2696388 -2.10897 -0.27154663 0.22292668 0.72315687 -0.70965403 -0.06591355 0.9111204 0.07825809 -0.37886798 0.69964576 1.1205875 0.8914459 0.028841948 -0.3973252,14
1.2859114 -1.0240037 -0.95208347 -0.75721824 -0.9735886 0.2432432 0.64997303 -0.801557 -2.4216442 -0.99934816 1.2115648 0.24296857 0.35308757 -1.4063634 0.91230583 -0.660106 1.3909699 1.4846493 0.55222094 1.1816221 -1.9897076 0.43858933 0.03264566 0.3982768 0.39013875 0.30255547 0.24281874 2.3500535 1.2341307 0.46977395 0.25011498 0.8606424 -0.013001021 0.6079509 0.45619974 0.47373807 1.0127043 0.024208225 0.3851994 0.68669975 -1.1224343 -0.0030052706 0.36891514 0.7805325 0.22637363 -1.2633371 -0.7240031 0.6631212 -0.6460127 0.7533358 -0.70113164 1.4402238 2.302868 0.93681425 0.9599717 -0.14290683 0.39867175,15
